timestamp, DHT11_temp, DHT11_umidade, NTC_temp
1572039697,27,50,24.51
1572039698,27,50,24.51
1572039699,27,50,24.42
1572039700,27,50,24.51
1572039701,27,50,24.51
1572039702,27,50,24.42
1572039703,27,50,24.51
1572039704,27,50,24.42
1572039705,27,50,24.51
1572039706,27,50,24.51
1572039707,27,50,24.42
1572039708,27,50,24.42
1572039709,27,50,24.51
1572039710,27,50,24.51
1572039711,27,50,24.51
1572039712,27,50,24.42
1572039713,27,50,24.42
1572039714,27,50,24.51
1572039715,27,50,24.51
1572039716,27,50,24.42
1572039717,27,50,24.51
1572039718,27,50,24.42
1572039719,27,50,24.42
1572039720,27,50,24.51
1572039721,27,50,24.42
1572039722,27,50,24.42
1572039723,27,50,24.42
1572039724,27,50,24.42
1572039725,27,50,24.42
1572039726,27,50,24.51
1572039727,27,50,24.42
1572039728,27,50,24.42
1572039729,27,50,24.42
1572039730,27,50,24.51
1572039731,27,50,24.42
1572039732,27,50,24.42
1572039733,27,50,24.51
1572039734,27,50,24.51
1572039735,27,50,24.51
1572039737,27,50,24.42
1572039738,27,50,24.42
1572039739,27,50,24.42
1572039740,27,50,24.42
